"customer_id","product_count"
6437,6
6439,6
6445,6
6457,6
6460,6
6461,6
6466,6
6471,6
6488,6
6497,6
6504,6
6507,6
6515,6
6516,6
6518,6
6521,6
6528,6
6534,6
6543,6
6544,6
6565,6
6566,6
6568,6
6575,6
6583,6
6605,6
6606,6
6609,6
6613,6
6616,6
6619,6
6634,6
6637,6
6642,6
6646,6
6652,6
6653,6
6658,6
6661,6
6663,6
6673,6
6678,6
6679,6
6682,6
6690,6
6694,6
6710,6
6715,6
6720,6
6721,6
6722,6
6728,6
6729,6
6730,6
6742,6
6749,6
6768,6
6770,6
6798,6
6810,6
6815,6
6818,6
6825,6
6853,6
6856,6
6859,6
6862,6
6864,6
6866,6
6870,6
6872,6
6875,6
6878,6
6885,6
6887,6
6892,6
6905,6
6906,6
6912,6
6918,6
6919,6
6927,6
6931,6
6932,6
6935,6
6940,6
6941,6
6945,6
6950,6
6958,6
6961,6
6963,6
6969,6
6974,6
6977,6
6982,6
6983,6
6988,6
6991,6
6999,6
7000,6
7002,6
7004,6
7005,6
7007,6
7010,6
7011,6
7019,6
7022,6
7023,6
7030,6
7034,6
7037,6
7042,6
7053,6
7055,6
7059,6
7072,6
7079,6
7093,6
7094,6
7101,6
7106,6
7108,6
7118,6
7119,6
7124,6
7128,6
7129,6
7141,6
7143,6
7152,6
7165,6
7181,6
7186,6
7187,6
7192,6
7196,6
7212,6
7214,6
7215,6
7224,6
7230,6
7232,6
7233,6
7235,6
7244,6
7247,6
7250,6
7254,6
7261,6
7264,6
7270,6
7274,6
7275,6
7279,6
7281,6
7284,6
7286,6
7290,6
7297,6
7300,6
7301,6
7313,6
7321,6
7325,6
7326,6
7327,6
7342,6
7348,6
7349,6
7352,6
7366,6
7369,6
7373,6
7375,6
7378,6
7381,6
7384,6
7386,6
7393,6
7396,6
7397,6
7408,6
7409,6
7411,6
7414,6
7419,6
7422,6
7426,6
7428,6
7431,6
7433,6
7437,6
7441,6
7444,6
7446,6
7451,6
7453,6
7458,6
7462,6
7476,6
7485,6
7488,6
7494,6
7495,6
7500,6
7503,6
7505,6
7514,6
7516,6
7521,6
7527,6
7530,6
7532,6
7533,6
7540,6
7573,6
7574,6
7592,6
7600,6
7610,6
7613,6
7617,6
7620,6
7627,6
7628,6
7629,6
7631,6
7646,6
7660,6
7679,6
7683,6
7685,6
7698,6
7699,6
7706,6
7712,6
7718,6
7723,6
7725,6
7732,6
7734,6
7736,6
7755,6
7761,6
7786,6
7787,6
7788,6
7789,6
7791,6
7793,6
7798,6
7801,6
7807,6
7822,6
7828,6
7829,6
7832,6
7842,6
7848,6
7849,6
7851,6
7861,6
7872,6
7873,6
7875,6
7881,6
7892,6
7899,6
7901,6
7912,6
7919,6
7922,6
7930,6
7937,6
7938,6
7943,6
7947,6
7959,6
7960,6
7962,6
7966,6
7972,6
7987,6
7990,6
7998,6
7999,6
8008,6
8015,6
8017,6
8026,6
8029,6
8036,6
8041,6
8070,6
8079,6
8080,6
8082,6
8086,6
8091,6
8093,6
8104,6
8132,6
8135,6
8140,6
8143,6
8146,6
8147,6
8148,6
8151,6
8159,6
8162,6
8164,6
8175,6
8180,6
8181,6
8182,6
8204,6
8207,6
8210,6
8212,6
8213,6
8216,6
8230,6
8233,6
8234,6
8235,6
8254,6
8268,6
8275,6
8278,6
8286,6
8299,6
8310,6
8312,6
8314,6
8315,6
8318,6
8334,6
8341,6
8346,6
8360,6
8362,6
8369,6
8370,6
8372,6
8373,6
8375,6
8387,6
8395,6
8397,6
8402,6
8405,6
8414,6
8416,6
8418,6
8420,6
8427,6
8430,6
8432,6
8439,6
8442,6
8443,6
8461,6
8462,6
8475,6
8477,6
8486,6
8492,6
8504,6
8514,6
8523,6
8524,6
8527,6
8534,6
8537,6
8541,6
8545,6
8553,6
8557,6
8560,6
8562,6
8566,6
8581,6
8584,6
8588,6
8594,6
8595,6
8601,6
8602,6
8605,6
8614,6
8619,6
8624,6
8625,6
8629,6
8643,6
8650,6
8652,6
8659,6
8663,6
8685,6
8686,6
8687,6
8690,6
8692,6
8700,6
8702,6
8707,6
8717,6
8720,6
8722,6
8724,6
8726,6
8727,6
8732,6
8737,6
8746,6
8749,6
8754,6
8755,6
8773,6
8775,6
8779,6
8780,6
8783,6
8786,6
8789,6
8799,6
8800,6
8805,6
8812,6
8825,6
8832,6
8842,6
8852,6
8858,6
8867,6
8870,6
8876,6
8890,6
8895,6
8897,6
8908,6
8910,6
8911,6
8916,6
8920,6
8923,6
8925,6
8931,6
8932,6
8933,6
8939,6
8945,6
8952,6
8953,6
8955,6
8957,6
